id,first_name,last_name,age,movies_made
1,Frank,Darabont,63,14
2,Francis Ford,Coppola,82,36
3,Christopher,Nolan,51,17
4,David,Fincher,60,94
5,Wachowski,Sisters,55,14
6,Sidney,Lumet,87,75
7,Bong,Ho,52,16
8,Steven,Spielberg,76,57
9,Robert,Zemeckis,70,33
10,Charles,Chaplin,88,72
11,Andrew,Stanton,56,15
12,Stanley,Kubrick,70,16
13,Todd,Phillips,51,16
14,Quentin,Tarantino,59,21
15,Anthony,Russo,52,24
16,Martin,Scorsese,80,68
17,Denis,Villeneuve,55,24
18,Joachim,Trier,48,9
19,Paul Thomas,Anderson,52,48
20,Rian,Johnson,49,17
21,Ivan,Reitman,76,25
22,Guy,Ritchie,54,29
23,Matthew,Vaughn,51,10
24,Garth,Jennings,50,32
25,Chris,Columbus,64,22
26,Ridley,Scott,85,57
27,Guillermo del,Toro,58,22
28,Cary Joji,Fukunaga,45,14
29,Ilya,Naishuller,39,12
30,Kenneth,Branagh,62,23
31,Jared,Bush,48,3
32,Wes,Craven,76,36
